cluster_id,celltype_grouping,celltype_fig1,celltype_Stdeconvolution,celltype_full,assignment notes,gene_marker_specific,other_specific_genes,other_notes
38_1,adipocyte,adipocyte,adipocyte,adipocyte,,rbp7b (ENSSSAG00000042282; doi: 10.3389/fcell.2022.876031);pnpla2 (ENSSSAG00000027926;doi.org/10.1371/journal.pgen.1006716); G0S2 (ENSSSAG00000042105; doi.org/10.1371/journal.pgen.1006716); slc27a4 (ENSSSAG00000041801; https://doi.org/10.1083/jcb.200207080),,Highly dysregulated in adipose knockout and in liposarcoma
26,chromophore,iridophore,iridophore,iridophore,slitrk6;syne1b;actn2b;fhl2,ltk(DOI: 10.1111/pcmr.12454);fhl2(doi: 10.1111/pcmr.12766),,
39,chromophore,melanophore,melanophore,melanophore,,spp1;slc2a15b (PMID: 24803434);mitfa;,,
30,chromophore,xanthophore,xanthophore,xanthophore,,pax7(PMID: 27053658),,
20,endothelial,endothelial cell,"endothelial, lymphatic","endothelial, lymphatic","could be ionocyte, but more likely lymphatic endothelial based on number and other markers",flt4(10.1016/j.celrep.2021.109255);cftr(PMID: 32848840); prox1a (DOI: 10.1096/fj.01-1010fje),cftr;atp1b1b;cdh6;flt4,might be ionocyte but I don't think so. 
27,endothelial,endothelial cell,"endothelial, vascular","endothelial, vascular",,cdh5(10.1016/j.celrep.2014.09.024);mecom(10.1093/cvr/cvac023),,
1,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
2,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
0,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
33,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
14,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
41,erythrocyte,erythrocyte,erythrocyte,erythrocyte,,,,
11,keratinocyte,keratinocyte,"keratinocyte, basal","keratinocyte, basal",,,,
12,keratinocyte,keratinocyte,"keratinocyte, periderm","keratinocyte, periderm","Similar to keratinocyte, intermediate, with stronger expression in more terminally differentiated keratinocytes in mammals. Potentially a type of secretory cells",evpla (10.1083/jcb.200706187); evplb(10.1083/jcb.200706187),ear/sensory-related? Tecta(PMID: 31554319);stm(ENSSSAG00000048365;PMID: 35128429);nhe3(PMID: 34822321),
5,keratinocyte,keratinocyte,"keratinocyte, suprabasal","keratinocyte, suprabasal",,,,
22,leukocyte,leukocyte,"lymphocyte, B","lymphocyte, B",,"vav2(PMID: 15811961);ebf1;immunoglobulins (such as ENSSSAG00000042621, ENSSSAG00000004118)",,
4,leukocyte,leukocyte,"lymphocyte, T","lymphocyte, T",,"ctsl, jak3",,
15_1,leukocyte,leukocyte,"lymphocyte, T","lymphocyte, T",,,,
18_1,leukocyte,leukocyte,neutrophil,neutrophil,,csf3r;tlr8;lkha4 (doi: 10.1042/bj3140733);cyp4f3(PMID: 35686338),,
18_0,leukocyte,leukocyte,dendritic cell,dendritic cell,,flt3(http://doi.org/10.3390/ijms23137289);blnk(PMID: 12387741),,
18_2,leukocyte,leukocyte,dendritic cell,dendritic cell,,flt3(http://doi.org/10.3390/ijms23137289);blnk(PMID: 12387741),,
6,leukocytes,macrophage,macrophage,macrophage,,"arg2, adam8, fabp4, timp2b, tgm2b (subcluster? tlr9, runx3, csf1r3)",,
40,leukocytes,osteoclast,osteoclast,osteoclast,,"spp1, acp5 ",,
7_1,mesenchymal,fib1,"fibroblast, wound-associated","fibroblast, wound-associated",spatial localisation,serpine1 (10.1038/s41420-024-01886-8); might be myofibroblast,,
7_2,mesenchymal,fib2,"fibroblast, tenocyte","fibroblast, tenocyte",spatial localisation,scxa (PMID: 29453333);fn1b; tnmd (PMCID: PMC543433); tbmd (PMC10509205),adamts2;col28a1,
21_1,mesenchymal,fib3,fibroblast,fibroblast,spatial localisation,"Might be myofibroblasts, but not many positive markers and ST deconvolution localises to stratum compactum. rgs7;fgf18;syt7;mstnb;pappa2;sparc",,
16,mesenchymal,pro1,"progenitor, pax7+","progenitor, pax7+",,pax7 (PMID: 28279710),"ntng2, sema3h and spon1b - maybe subgroup and neuronal?",
37,mesenchymal,pro2,"progenitor, pericyte","progenitor, pericyte",,acta2;myh11;pdgfrb(DOI: 10.1016/j.tcb.2023.06.001;rgs5a(DOI: 10.1016/j.tcb.2023.06.001;abcc9(DOI: 10.1016/j.tcb.2023.06.001),,
3,mesenchymal,pro3,"progenitor, MSC","progenitor, MSC",,ebf1;f13a;runx3;tcf7;apccd1(PMID: 25592970);,,
7_0,mesenchymal,pro4,"progenitor, fibroadipogenic","progenitor, fibroadipogenic",,hic1(10.1016/j.stem.2019.11.004);osr1(10.1038/s41467-017-01120-3); abi3bp (doi: 10.1186/s40104-026-01389-9); pdgfra; pdgfrb,,
10,muscle,muscle cell,myoblast,myoblast,,,,
17_1,muscle,muscle cell,"myofibre, red, fg","myofibre, red, fg",spatial localisation,,,
23,muscle,muscle cell,"myofibre, red","myofibre, red",spatial localisation,"immature marker: myog (PMC10356771), klf5 (ENSSSAG00000118837; PMC10356771)",,
13_0,muscle,muscle cell,"myofibre, white, early","myofibre, white, early",spatial localisation,"immature marker: myog (PMC10356771), klf5 (ENSSSAG00000118837; PMC10356771)",,
8,muscle,muscle cell,"myofibre, white, late","myofibre, white, late",spatial localisation,"immature marker: myog (PMC10356771), klf5 (ENSSSAG00000118837; PMC10356771)",,
42,muscle,muscle cell,"myofibre, white, late","myofibre, white, late",spatial localisation,"immature marker: myog (PMC10356771), klf5 (ENSSSAG00000118837; PMC10356771)",,
29,muscle,muscle cell,"myofibre, white, late","myofibre, white, late",spatial localisation,"immature marker: myog (PMC10356771), klf5 (ENSSSAG00000118837; PMC10356771)",,
17_0,muscle,muscle cell,"myofibre, white, fg","myofibre, white, fg",spatial localisation,,,
13_1,muscle,muscle cell,myotube,myotube,,,c1qtnf9;crip2;dcx;klf7b;nav3,
28,scale-forming,scale-forming cell,"SFC, osteoblast","SFC, osteoblast",Potentially focus region for scales (partial expression match with col1a1a/b in zebrafish https://doi.org/10.7554/eLife.86670.3),"col11a1 (PMID: 26779434); col2a1; col10a1a(PMID: 31737217); slc8a4b (PMID: 35169687); twist2 (https://doi-org.ezproxy.lancs.ac.uk/10.1016/j.cdev.2021.203684). Same as above, with additional: smpd3 (PMID: 27325675); ihha (doi: 10.3390/jdb4020020) check this paper https://www-sciencedirect-com.ezproxy.lancs.ac.uk/science/article/pii/S0012160617305821",tram2(DOI: 10.1002/jcb.21366);ifitm5(doi.org/10.3390/ijms23042148);panx3(10.1016/j.bone.2019.06.008),Many genes upregulated during scale regenration PMC8780716
19,scale-forming,scale-forming cell,"SFC, osteoblast-like, focus","SFC, osteoblast-like, focus",,,,"Though the paper indicate the focus scale forming cells (SFC) are high in col10a1b, the nominature for the two isoforms (col10a1a and col10a1b) appears to be the opposite between salmon and zebrafish, with the expression pattern and similarity matching this as the focus-like cells"
25,scale-forming,scale-forming cell,"SFC, osteoblast-like, neurovascular","SFC, osteoblast-like, neurovascular",tead4+ vstm4a+ pamr1+ fam20ca+,tead4 (DOI: 10.1126/sciadv.aba4147); entpd5a (PMC8780716),neuron: epha4 (PMID: 18094260);adarb1(PMID: 28082424);fam20ca(PMID: 40511628);hip1,
15_0,secretory,goblet cell,goblet cell,goblet cell,,,,
31,thrombocyte,thrombocyte,thrombocyte,thrombocyte,,g6fl (10.1371/journal.pone.0052622);mpl(10.1073/pnas.1404354111),,
38_0,tuft cell,tuft cell,tuft cell,tuft cell I,,"aldh1a3, alk",,
24,tuft cell,tuft cell,tuft cell,tuft cell II,,lrmp;pou2f3; avil (PMC11127180),abca2 (PMID: 17266523);vav2(10.1523/JNEUROSCI.3351-09.2010),Also expresses some oligodendrocyte markers. Vil1. Might also be metaphocyte due to unique cldnh expression https://elifesciences.org/articles/53403
36,Schwann cell,Schwann cell,Schwann cell,Schwann cell,,gldn;mag;mbp,,
9,unknown,un1,"undefined, sema3d+","undefined, sema3d+",,"neural activities? Pkp3b, nova1, clu, sema3d, cndp2  have roles in neuron development or secretory cells. High in itga6b, along with basal keratinocytes. High in ",col6a6(PMID: 25715693); sema3d; clu (10.1111/eos.12056).,
35,unknown,un2,"undefined, slit1+","undefined, slit1+",,,vascular smooth muscle? (pde1c DOI: 10.1161/hh0202.104108),
32,unknown,un3,"undefined, slit1+ aspn+ ","undefined, slit1+ aspn+",,,vascular smooth muscle? (pde1c DOI: 10.1161/hh0202.104108),
34,unknown,un4,"undefined, rspo1+","undefined, rspo1+",,,,
21_0,unknown,un5,"undefined, ribosome-high","undefined, ribosome-high",,,,
