"ensembl","longname"
"ENSSSAG00000006872","cdk1_ENSSSAG00000006872"
"ENSSSAG00000071214","cdc2_ENSSSAG00000071214"
"ENSSSAG00000078837","fen1_ENSSSAG00000078837"
"ENSSSAG00000042717","mcm2_mcm2.1_ENSSSAG00000042717"
"ENSSSAG00000055449","mcm3_mcm3.1_ENSSSAG00000055449"
"ENSSSAG00000070777","mcm4_mcm4.1_ENSSSAG00000070777"
"ENSSSAG00000040979","mcm5_mcm5.1_ENSSSAG00000040979"
"ENSSSAG00000005407","mcm7_ENSSSAG00000005407"
"ENSSSAG00000066170","mki67_ENSSSAG00000066170"
"ENSSSAG00000043943","plk1_ENSSSAG00000043943"
"ENSSSAG00000078390","pola1_ENSSSAG00000078390"
"ENSSSAG00000001875","prim2_prim2.1_ENSSSAG00000001875"
"ENSSSAG00000066661","rfc2_rfc2.1_ENSSSAG00000066661"
"ENSSSAG00000107822","rfc3_ENSSSAG00000107822"
"ENSSSAG00000068070","rfc5_rfc5.1_ENSSSAG00000068070"
"ENSSSAG00000050927","rpa1_rpa1.1_ENSSSAG00000050927"
"ENSSSAG00000088862","rpa2_ENSSSAG00000088862"
"ENSSSAG00000073202","rpa3_rpa3.1_ENSSSAG00000073202"
"ENSSSAG00000051898","rrm1_ENSSSAG00000051898"
"ENSSSAG00000083858","RRM2_rrm2_ENSSSAG00000083858"
"ENSSSAG00000006452","smc1a_ENSSSAG00000006452"
"ENSSSAG00000007113","smc3_smc3.1_ENSSSAG00000007113"
"ENSSSAG00000061432","stag2_ENSSSAG00000061432"
