"salmon.geneid","zebrafish.geneid","human.geneid","zebrafish.genename","zebrafish.genename_full","human.genename","human.genename_full","gene_name_base"
"ENSSSAG00000000040","ENSDARG00000026225","ENSG00000109685","nsd2","nsd2","NSD2","NSD2","nsd2"
"ENSSSAG00000000041","ENSDARG00000069715","NA","foxi2","foxi2",NA,NA,"foxi2"
"ENSSSAG00000000044","ENSDARG00000075532","ENSG00000088836","slc4a11","slc4a11","SLC4A11","SLC4A11","slc4a11"
"ENSSSAG00000000048","ENSDARG00000033707","ENSG00000077684","jade1","jade1","JADE1","JADE1","jade1"
"ENSSSAG00000000049","ENSDARG00000008238","ENSG00000109323","manba","manba","MANBA","MANBA","manba"
"ENSSSAG00000000051","ENSDARG00000057890","ENSG00000115282","si:dkey-33c12","si:dkey-33c12.4","TTC31","TTC31","ttc31"
"ENSSSAG00000000052","ENSDARG00000057881","NA","neff2","neff2",NA,NA,"neff2"
"ENSSSAG00000000055","ENSDARG00000021201","ENSG00000214513","noto","noto","NOTO","NOTO","noto"
"ENSSSAG00000000059","ENSDARG00000041864","ENSG00000092529","capn3a","capn3a","CAPN3","CAPN3","capn3"
"ENSSSAG00000000063","ENSDARG00000029600","ENSG00000122741","wdr32","wdr32","DCAF10","DCAF10","dcaf10"
"ENSSSAG00000000065","ENSDARG00000004870","ENSG00000080815","psen1","psen1","PSEN1","PSEN1","psen1"
"ENSSSAG00000000067","ENSDARG00000027867","ENSG00000100767","paplna","paplna","PAPLN","PAPLN","papln"
"ENSSSAG00000000069","ENSDARG00000001937","ENSG00000173262|ENSG00000059804|ENSG00000197241",NA,"","SLC2A14","SLC2A14|SLC2A3|SLC2A7",NA
"ENSSSAG00000000073","ENSDARG00000088255","ENSG00000198732","smoc1","smoc1","SMOC1","SMOC1","smoc1"
"ENSSSAG00000000075","ENSDARG00000011819","ENSG00000100731","pcnx1","pcnx1","PCNX1","PCNX1","pcnx1"
"ENSSSAG00000000077","ENSDARG00000039150","ENSG00000100600","lgmn","lgmn","LGMN","LGMN","lgmn"
"ENSSSAG00000000078","ENSDARG00000002403","ENSG00000137804","nusap1","nusap1","NUSAP1","NUSAP1","nusap1"
"ENSSSAG00000000079","ENSDARG00000025549","ENSG00000137806","ndufaf1","ndufaf1","NDUFAF1","NDUFAF1","ndufaf1"
"ENSSSAG00000000080","ENSDARG00000008947","ENSG00000137815","rtf1","rtf1","RTF1","RTF1","rtf1"
"ENSSSAG00000000082","ENSDARG00000039273","ENSG00000140092","fbln5","fbln5","FBLN5","FBLN5","fbln5"
"ENSSSAG00000000083","ENSDARG00000095067","ENSG00000165929","TC2N","TC2N","TC2N","TC2N","tc2n"
"ENSSSAG00000000085","ENSDARG00000012789","ENSG00000100558","plek2","plek2","PLEK2","PLEK2","plek2"
"ENSSSAG00000000089","ENSDARG00000018069","ENSG00000072042","rdh12","rdh12","RDH11","RDH11","rdh11"
"ENSSSAG00000000090","ENSDARG00000039269","ENSG00000081181","arg2","arg2","ARG2","ARG2","arg2"
"ENSSSAG00000000094","ENSDARG00000078185","ENSG00000179364","pacs2","pacs2","PACS2","PACS2","pacs2"
"ENSSSAG00000000096","ENSDARG00000034734","ENSG00000133997","med6","med6","MED6","MED6","med6"
"ENSSSAG00000000097","ENSDARG00000074363","ENSG00000133985","TTC9","TTC9","TTC9","TTC9","ttc9"
"ENSSSAG00000000100","ENSDARG00000013491","ENSG00000006432","map3k9","map3k9","MAP3K9","MAP3K9","map3k9"
"ENSSSAG00000000105","ENSDARG00000071425","ENSG00000109065","nat9","nat9","NAT9","NAT9","nat9"
"ENSSSAG00000000106","ENSDARG00000074527","ENSG00000182022","chst15","chst15","CHST15","CHST15","chst15"
"ENSSSAG00000000108","ENSDARG00000076913","ENSG00000154920","eme1","eme1","EME1","EME1","eme1"
"ENSSSAG00000000109","ENSDARG00000010154","ENSG00000165633","vstm4a","vstm4a","VSTM4","VSTM4","vstm4"
"ENSSSAG00000000110","ENSDARG00000063190","ENSG00000019995","zranb1b","zranb1b","ZRANB1","ZRANB1","zranb1"
"ENSSSAG00000000113","ENSDARG00000021150","NA","valopa","valopa",NA,NA,"valopa"
"ENSSSAG00000000114","ENSDARG00000008203","ENSG00000125813","pax1a","pax1a","PAX1","PAX1","pax1"
"ENSSSAG00000000115","ENSDARG00000070954","ENSG00000188816","hmx2","hmx2","HMX2","HMX2","hmx2"
"ENSSSAG00000000122","ENSDARG00000059948","ENSG00000125430|ENSG00000164100|ENSG00000153976","si:dkey-121b10","si:dkey-121b10.7","HS3ST3B1","HS3ST3B1|NDST3|HS3ST3A1","si:dkey-121b10"
"ENSSSAG00000000130","ENSDARG00000100753","NA",NA,"",NA,NA,NA
